App Id,Category,Result,Error Message,Version Code
com.samsung.knox.securefolder,BUSINESS,False,,
com.sec.app.samsungprintservice,PRODUCTIVITY,False,%s download unavailable for the given sdk_version: %s,
com.samsung.android.email.provider,PRODUCTIVITY,False,,
com.dropbox.android,PRODUCTIVITY,False,%s download unavailable for the given sdk_version: %s,
com.google.android.calculator,TOOLS,False,%s download unavailable for the given sdk_version: %s,
com.samsung.android.mobileservice,TOOLS,False,,
com.lenovo.anyshare.gps,TOOLS,False,%s download unavailable for the given sdk_version: %s,
com.sec.android.app.shealth,HEALTH_AND_FITNESS,False,,
com.google.android.ims,COMMUNICATION,False,%s download unavailable for the given sdk_version: %s,
com.sec.android.gallery3d,PHOTOGRAPHY,False,,
flipboard.boxer.app,NEWS_AND_MAGAZINES,False,%s download unavailable for the given sdk_version: %s,
com.kiloo.subwaysurf,GAME_ARCADE,False,%s download unavailable for the given sdk_version: %s,
com.snapchat.android,SOCIAL,False,%s download unavailable for the given sdk_version: %s,
com.zhiliaoapp.musically,SOCIAL,False,%s download unavailable for the given sdk_version: %s,
com.miui.player,MUSIC_AND_AUDIO,False,,
com.sec.android.app.music,MUSIC_AND_AUDIO,False,,
us.zoom.videomeetings,BUSINESS,False,%s download unavailable for the given sdk_version: %s,
com.linkedin.android,BUSINESS,False,%s download unavailable for the given sdk_version: %s,
com.contextlogic.wish,SHOPPING,False,%s download unavailable for the given sdk_version: %s,
com.touchtype.swiftkey,PRODUCTIVITY,False,%s download unavailable for the given sdk_version: %s,
com.hp.android.printservice,PRODUCTIVITY,False,%s download unavailable for the given sdk_version: %s,
com.imangi.templerun2,GAME_ACTION,False,%s download unavailable for the given sdk_version: %s,
com.fungames.sniper3d,GAME_ACTION,False,%s download unavailable for the given sdk_version: %s,
com.miniclip.eightballpool,SPORTS,False,%s download unavailable for the given sdk_version: %s,
com.outfit7.mytalkingtomfree,GAME_CASUAL,False,%s download unavailable for the given sdk_version: %s,
me.pou.app,GAME_CASUAL,False,%s download unavailable for the given sdk_version: %s,
com.outfit7.mytalkingangelafree,GAME_CASUAL,False,%s download unavailable for the given sdk_version: %s,
com.huawei.KoBackup,TOOLS,False,%s download unavailable for the given sdk_version: %s,
com.mi.android.globalFileexplorer,TOOLS,False,%s download unavailable for the given sdk_version: %s,
com.xiaomi.midrop,TOOLS,False,%s download unavailable for the given sdk_version: %s,
com.samsung.android.app.watchmanager,TOOLS,False,%s download unavailable for the given sdk_version: %s,
com.huawei.hwdetectrepair,TOOLS,False,,
com.huawei.phoneservice,TOOLS,False,,
com.huawei.hwid,TOOLS,False,%s download unavailable for the given sdk_version: %s,
